ons_la_code_apr_2019,borough,quarter,count
E09000002,Barking and Dagenham,2011-10-01,16
E09000003,Barnet,2011-10-01,131
E09000004,Bexley,2011-10-01,15
E09000005,Brent,2011-10-01,69
E09000006,Bromley,2011-10-01,26
E09000007,Camden,2011-10-01,200
E09000001,City of London,2011-10-01,10
E09000008,Croydon,2011-10-01,26
E09000009,Ealing,2011-10-01,47
E09000010,Enfield,2011-10-01,33
E09000011,Greenwich,2011-10-01,18
E09000012,Hackney,2011-10-01,32
E09000013,Hammersmith and Fulham,2011-10-01,54
E09000014,Haringey,2011-10-01,71
E09000015,Harrow,2011-10-01,11
E09000016,Havering,2011-10-01,14
E09000017,Hillingdon,2011-10-01,82
E09000018,Hounslow,2011-10-01,287
E09000019,Islington,2011-10-01,83
E09000020,Kensington and Chelsea,2011-10-01,95
E09000021,Kingston upon Thames,2011-10-01,17
E09000022,Lambeth,2011-10-01,114
E09000023,Lewisham,2011-10-01,15
E09000024,Merton,2011-10-01,22
E09000025,Newham,2011-10-01,10
E09000026,Redbridge,2011-10-01,5
E09000027,Richmond upon Thames,2011-10-01,39
E09000028,Southwark,2011-10-01,116
E09000029,Sutton,2011-10-01,9
E09000030,Tower Hamlets,2011-10-01,47
E09000031,Waltham Forest,2011-10-01,27
E09000032,Wandsworth,2011-10-01,82
E09000033,Westminster,2011-10-01,223
E09000002,Barking and Dagenham,2012-01-01,16
E09000003,Barnet,2012-01-01,128
E09000004,Bexley,2012-01-01,14
E09000005,Brent,2012-01-01,66
E09000006,Bromley,2012-01-01,25
E09000007,Camden,2012-01-01,194
E09000001,City of London,2012-01-01,10
E09000008,Croydon,2012-01-01,28
E09000009,Ealing,2012-01-01,43
E09000010,Enfield,2012-01-01,31
E09000011,Greenwich,2012-01-01,15
E09000012,Hackney,2012-01-01,32
E09000013,Hammersmith and Fulham,2012-01-01,52
E09000014,Haringey,2012-01-01,59
E09000015,Harrow,2012-01-01,14
E09000016,Havering,2012-01-01,12
E09000017,Hillingdon,2012-01-01,83
E09000018,Hounslow,2012-01-01,297
E09000019,Islington,2012-01-01,84
E09000020,Kensington and Chelsea,2012-01-01,87
E09000021,Kingston upon Thames,2012-01-01,22
E09000022,Lambeth,2012-01-01,109
E09000023,Lewisham,2012-01-01,13
E09000024,Merton,2012-01-01,21
E09000025,Newham,2012-01-01,11
E09000026,Redbridge,2012-01-01,0
E09000027,Richmond upon Thames,2012-01-01,36
E09000028,Southwark,2012-01-01,112
E09000029,Sutton,2012-01-01,9
E09000030,Tower Hamlets,2012-01-01,44
E09000031,Waltham Forest,2012-01-01,29
E09000032,Wandsworth,2012-01-01,76
E09000033,Westminster,2012-01-01,216
E09000002,Barking and Dagenham,2012-04-01,15
E09000003,Barnet,2012-04-01,124
E09000004,Bexley,2012-04-01,15
E09000005,Brent,2012-04-01,66
E09000006,Bromley,2012-04-01,30
E09000007,Camden,2012-04-01,200
E09000001,City of London,2012-04-01,15
E09000008,Croydon,2012-04-01,25
E09000009,Ealing,2012-04-01,47
E09000010,Enfield,2012-04-01,28
E09000011,Greenwich,2012-04-01,15
E09000012,Hackney,2012-04-01,31
E09000013,Hammersmith and Fulham,2012-04-01,53
E09000014,Haringey,2012-04-01,64
E09000015,Harrow,2012-04-01,19
E09000016,Havering,2012-04-01,13
E09000017,Hillingdon,2012-04-01,83
