"LocationName","FeatureLocation","Provider","Ward","NoBays","Speed","easting","northing","Radius","IsDedicated","Status"
"Abercorn Place","At or Outside 14","Ubitricity","Abbey Road",1,"5.5kW",526301.85,183083.15,6,"Dedicated","Installed"
"Abercorn Place","At or Outside 2 ABERCORN COTTAGES","Ubitricity","Abbey Road",1,"5.5kW",526117.09,182928.2,6,"Non Dedicated","Installed"
"Abercorn Place","At or Outside 2A","Ubitricity","Abbey Road",1,"5.5kW",526203.86,183000.96,6,"Non Dedicated","Installed"
"Abercorn Place","At or Outside CHURCH HALL","Ubitricity","Abbey Road",1,"5.5kW",526231.33,183039.86,6,"Dedicated","Installed"
"Abercorn Place","At or Outside WARNER HOUSE","Ubitricity","Abbey Road",1,"5.5kW",526089.19,182922.22,6,"Non Dedicated","Installed"
"Abercorn Place","Side of 56 Maida Vale","BPL","Abbey Road",4,"7-22kW",526093.9473,182934.887,15,"Dedicated","Installed"
"Aberdeen Place","Opposite NORTHWICK TERRACE","ESB","Church Street",1,"50kW",526632.7,182253.5,25,"Dedicated","Installed"
"Acacia Road","Opposite 9 Acacia Road","Elektromotive Car Club","Regent's Park",1,"7-22kW",526916.7,183443.4,15,"Dedicated","Installed"
"Adpar Street","At or Outside DEVONSHIRE HOUSE","Ubitricity","Little Venice",1,"5.5kW",526742.77,181973.4,6,"Dedicated","Installed"
"Albemarle Street","Outside 21","BP Pulse","West End",2,"7-22kW",528994.1071,180621.1523,15,"Dedicated","Installed"
"Albion Street","Outside No. 42","Ubitricity","Hyde Park",1,"5.5kW",527314.42,180967.37,6,"Dedicated","Installed"
"Aldridge Road Villas","At or Outside 11","Ubitricity","Westbourne",1,"5.5kW",524986.06,181536.56,6,"Dedicated","Installed"
"Aldridge Road Villas","At or Outside 15","Ubitricity","Westbourne",1,"5.5kW",524977.78,181551.25,6,"Dedicated","Installed"
"Aldridge Road Villas","At or Outside 26","Ubitricity","Westbourne",1,"5.5kW",524955.39,181571.19,6,"Non Dedicated","Installed"
"Aldridge Road Villas","At or Outside 34","Ubitricity","Westbourne",1,"5.5kW",524940.59,181596.49,6,"Non Dedicated","Installed"
"Aldridge Road Villas","At or Outside 40","Ubitricity","Westbourne",1,"5.5kW",524926.95,181620.03,6,"Non Dedicated","Installed"
"Aldridge Road Villas","At or Outside 47","Ubitricity","Westbourne",1,"5.5kW",524920.65,181648.6,6,"Dedicated","Installed"
"Aldridge Road Villas","Side of WESTBURY HOUSE","Ubitricity","Westbourne",1,"5.5kW",525010.31,181478.38,6,"Non Dedicated","Installed"
"Alexander Street","Opposite 26","Ubitricity","Bayswater",1,"5.5kW",525531.2,181279.34,6,"Dedicated","Installed"
"Alfred Road","Opposite HARBOUR CLUB","Ubitricity","Westbourne",1,"5.5kW",525366.18,181790.32,6,"Dedicated","Installed"
"Alfred Road","Opposite Playground","Ubitricity","Westbourne",1,"5.5kW",525313.72,181770.92,6,"Dedicated","Installed"
"Allitsen Road","At or Outside 42-51 TOWNSHEND CURT","Ubitricity","Regent's Park",1,"5.5kW",527274.74,183395.63,6,"Dedicated","Installed"
"Allsop Place","Outside 7 Allsop Place- Cornwall House, nw1 5BF","Elektromotive Car Club","Regent's Park",2,"7-22kW",528013.1,182095.6,15,"Dedicated","Installed"
"Artesian Road","At or Outside 15","Ubitricity","Bayswater",1,"5.5kW",525268.96,181171.53,6,"Dedicated","Installed"
"Artesian Road","At or Outside 16","Ubitricity","Bayswater",1,"5.5kW",525244.25,181176.65,6,"Non Dedicated","Installed"
"Artesian Road","At or Outside 41","Ubitricity","Bayswater",1,"5.5kW",525151.43,181159.35,6,"Dedicated","Installed"
"Artesian Road","Opposite 73","Ubitricity","Bayswater",1,"5.5kW",525064.22,181166.54,6,"Dedicated","Installed"
"Artesian Road","West of no. 73 Artesian Road","BP Pulse","Bayswater",1,"7-22kW",525062.2213,181159.5012,15,"Dedicated","Installed"
"Ashmore Road","At or Outside 164/166","Ubitricity","Queen's Park",1,"5.5kW",524761.62,182756.08,6,"Non Dedicated","Installed"
"Ashmore Road","At or Outside 180","Ubitricity","Queen's Park",1,"5.5kW",524749.08,182800.75,6,"Non Dedicated","Installed"
"Ashmore Road","At or Outside 196/198","Ubitricity","Queen's Park",1,"5.5kW",524734.09,182846.19,6,"Non Dedicated","Installed"
"Ashmore Road","At or Outside 228","Ubitricity","Queen's Park",1,"5.5kW",524701.35,182947.01,6,"Dedicated","Installed"
